id,name,category,type,description,terminal_code,airport_code,vibe_tags,slug,available_in_transit,rating,time_required,booking_required,price_level,opening_hours,location_description,image_url,coordinates,status,context
,Mother and Child,Attraction,,,SIN-T1,SIN,Explore,mother-and-child,false,,,false,,,,,,active,
,Saga Seed,Attraction,,,SIN-T1,SIN,Explore,saga-seed,true,,,false,,,,,,active,
,Travelling Family,Attraction,,,SIN-T1,SIN,Explore,travelling-family,false,,,false,,,,,,active,
,Electronics Computers by Sprint-Cass,Shopping,,,SIN-T1,SIN,Shop,electronics-computers-sprint-cass,true,,,false,,,,,,active,
,Fragrance Bak Kwa,Shopping,,,SIN-T1,SIN,Shop,fragrance-bak-kwa,true,,,false,,,,,,active,
,Garrett Popcorn Shops®,Shopping,,,SIN-T1,SIN,Shop,garrett-popcorn,true,,,false,,,,,,active,
,Gassan Watches,Shopping,,,SIN-T1,SIN,Shop,gassan-watches,true,,,false,,,,,,active,
,Giordano,Shopping,,,SIN-T1,SIN,Shop,giordano,true,,,false,,,,,,active,
,Guardian Health & Beauty - Level 2 Shop 16,Shopping,,,SIN-T1,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-16,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 16",,,active,
,Guardian Health & Beauty - Level 2 Shop 69,Shopping,,,SIN-T1,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-69,true,,,false,,"{""Monday-Sunday"":""06:00-00:00""}","Level 2, Shop 69",,,active,
,Gucci,Shopping,,,SIN-T1,SIN,Shop,gucci,true,,,false,,,,,,active,
,HERMÈS,Shopping,,,SIN-T1,SIN,Shop,hermes,true,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-T1,SIN,Shop,irvins-salted-egg,true,,,false,,,,,,active,
,Kaboom,Shopping,,,SIN-T1,SIN,Shop,kaboom,true,,,false,,,,,,active,
,Lindt,Shopping,,,SIN-T1,SIN,Shop,lindt,true,,,false,,,,,,active,
,Longchamp,Shopping,,,SIN-T1,SIN,Shop,longchamp,true,,,false,,,,,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 10,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-10,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 10",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 23,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-23,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 23",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 53,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-53,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 53",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 68,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-68,true,,,false,,"{""Monday-Sunday"":""06:00-00:00""}","Level 2, Shop 68",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 22,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-22,true,,,false,,"{""Monday-Sunday"":""06:00-00:00""}","Level 2, Shop 22",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 46,Shopping,,,SIN-T1,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-46,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 46",,,active,
,Louis Vuitton,Shopping,,,SIN-T1,SIN,Shop,louis-vuitton,true,,,false,,,,,,active,
,lululemon,Shopping,,,SIN-T1,SIN,Shop,lululemon,true,,,false,,,,,,active,
,Sunglass Hut,Shopping,,,SIN-T1,SIN,Shop,sunglass-hut,true,,,false,,,,,,active,
,Swarovski,Shopping,,,SIN-T1,SIN,Shop,swarovski,true,,,false,,,,,,active,
,Tiffany & Co.,Shopping,,,SIN-T1,SIN,Shop,tiffany-co,true,,,false,,,,,,active,
,Times Travel,Shopping,,,SIN-T1,SIN,Shop,times-travel,true,,,false,,,,,,active,
,Tory Burch,Shopping,,,SIN-T1,SIN,Shop,tory-burch,true,,,false,,,,,,active,
,Travelex Money Changer,Shopping,,,SIN-T1,SIN,Quick; Shop,travelex-money-changer,false,,,false,,,,,,active,
,TWG Tea Boutique,Shopping,,,SIN-T1,SIN,Shop,twg-tea-boutique,true,,,false,,,,,,active,
,Uniqlo,Shopping,,,SIN-T1,SIN,Shop,uniqlo,true,,,false,,,,,,active,
,Victoria's Secret Beauty & Accessories,Shopping,,,SIN-T1,SIN,Shop,victorias-secret-beauty-accessories,true,,,false,,,,,,active,
,WH Smith - Before Security Level 1 Shop 84,Shopping,,,SIN-T1,SIN,Shop,wh-smith-before-security-level-1-shop-84,false,,,false,,"{""Monday-Sunday"":""07:00-23:00""}","Before Security, Level 1, Shop 84",,,active,
,WH Smith - Level 2 Shop 67,Shopping,,,SIN-T1,SIN,Shop,wh-smith-level-2-shop-67,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 67",,,active,
,WH Smith - Level 2 Shop 41,Shopping,,,SIN-T1,SIN,Shop,wh-smith-level-2-shop-41,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 41",,,active,
,electronics-computers-sprint-cass-t1,Shopping,Retail,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,fragrance-bak-kwa-t1,Shopping,Food & Gifts,Shopping amenity in SIN-T1,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,garrett-popcorn-t1,Shopping,Snacks & Confectionery,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,gassan-watches-t1,Shopping,Watches & Jewelry,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,giordano-sin-t1,Shopping,Fashion & Accessories,Shopping amenity in SIN-T1,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,guardian-health-beauty-sin-t1-16,Shopping,Pharmacy,,SIN-T1,SIN,Shop; Quick,,true,,,false,,{},,,{},active,
,guardian-health-beauty-sin-t1-69,Shopping,Pharmacy,,SIN-T1,SIN,Shop; Quick,,true,,,false,,{},,,{},active,
,gucci-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,hermes-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,irvins-salted-egg-t1,Food & Beverage,Snacks,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,kaboom-t1,Shopping,Electronics,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lindt,Shopping,Retail,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,longchamp-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-1-10,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-1-23,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-2-53,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-2-68,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-2-22,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t1-level-2-46,Shopping,Duty-Free Store,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,louis-vuitton-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,mother-and-child,Attraction,Art Installation,,SIN-T1,SIN,Explore,,false,,,false,,{},,,{},active,
,saga-seed,Attraction,Art Installation,,SIN-T1,SIN,Explore,,true,,,false,,{},,,{},active,
,spirit-of-man,Attraction,Art Installation,,SIN-T1,SIN,Explore,,true,,,false,,{},,,{},active,
,sunglass-hut-t1,Shopping,Retail,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,swarovski-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,tiffany-co,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,times-travel,Shopping,Retail,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,tory-burch-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,travelex-money-changer-t1,Services,Currency Exchange,,SIN-T1,SIN,Quick; Shop,,false,,,false,,{},,,{},active,
,twg-tea-boutique-t1,Food & Beverage,Tea Boutique,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,uniqlo-t1,Shopping,Fashion & Accessories,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,victorias-secret-beauty-accessories-t1,Shopping,Fashion & Beauty,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,whsmith-t1-level-1-84,Shopping,Books & Convenience,,SIN-T1,SIN,Shop,,false,,,false,,{},,,{},active,
,whsmith-t1-level-2-67,Shopping,Books & Convenience,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,whsmith-t1-level-2-41,Shopping,Books & Convenience,,SIN-T1,SIN,Shop,,true,,,false,,{},,,{},active,
,Manulife Sky Nets,Shopping,Retail,Walking and bouncing nets suspended in the air,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Mirror Maze,Shopping,Retail,Immersive mirror maze experience,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Rain Vortex,Shopping,Retail,The world's tallest indoor waterfall,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Shiseido Forest Valley,Shopping,Retail,Lush indoor forest with walking trails,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Entertainment Deck,Shopping,Retail,Games and entertainment zone,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Butterfly Garden,Shopping,Retail,Tropical butterfly habitat with flowering plants,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Cactus Garden,Shopping,Retail,Outdoor roof garden with over 100 species of cacti,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Koi Pond,Shopping,Retail,Tranquil pond with Japanese koi fish,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Sunflower Garden,Shopping,Retail,Rooftop garden with viewing gallery,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Tiger Street Lab,Shopping,Retail,Craft beer and local fare,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Din Tai Fung,Shopping,Retail,Renowned Taiwanese restaurant famous for xiaolongbao,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Paradise Dynasty,Shopping,Retail,Known for signature colorful xiaolongbao,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Bee Cheng Hiang,Shopping,Retail,Famous for its barbecued pork jerky,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Koi Thé,Shopping,Retail,Premium Taiwanese bubble tea,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Sushi Tei,Shopping,Retail,Premium sushi and Japanese cuisine,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Song Fa Bak Kut Teh,Shopping,Retail,Award-winning pork rib soup,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Crowne Plaza Changi Airport,Shopping,Retail,Luxury hotel connected to Terminal 3,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Ambassador Transit Hotel,Shopping,Retail,In-terminal hotel for transiting passengers,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Singapore Airlines SilverKris Lounge,Services,Lounge,Premium lounge for Singapore Airlines first and business class passengers,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,SATS Premier Lounge,Services,Lounge,Comfortable lounge with shower facilities,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,dnata Lounge,Services,Lounge,Modern lounge with extensive food options,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,UOB Currency Exchange,Services,Banking,Competitive rates for currency exchange,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Telecommunications Kiosk,Shopping,Retail,SIM cards and mobile services,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,TRS Tax Refund,Shopping,Retail,Tourist refund scheme counter,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Spa Express,Shopping,Retail,Quick massage and spa treatments,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Lotte Duty Free,Shopping,Duty-Free Store,Korean duty-free retailer,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Zara,Shopping,Retail,Spanish fast fashion retailer,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Eu Yan Sang,Shopping,Retail,Traditional Chinese medicine,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Muji,Shopping,Retail,Minimalist Japanese home goods,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
,Tokyu Hands,Shopping,Retail,Japanese lifestyle store,SIN-T1,SIN,,,false,,,false,,{},,,{},active,
sin-t1-fish-spa,Fish Spa,Wellness,Spa,Unique fish spa experience with Garra Rufa fish for natural exfoliation,SIN-T1,SIN,Comfort; Explore,fish-spa-t1,true,,,false,$$,"{""Monday-Sunday"":""24/7""}","Transit Area, Near Gate D41",,"{""lat"":1.3645,""lng"":103.9916}",active,
,Spirit of Man (Success and Achievement),Attraction,,,SIN-T2,SIN,Explore,spirit-of-man,false,,,false,,,,,,active,
,The Memory of Lived Space,Attraction,,,SIN-T2,SIN,Explore,memory-of-lived-space,false,,,false,,,,,,active,
,Vessel,Attraction,,,SIN-T2,SIN,Explore,vessel,true,,,false,,,,,,active,
,Eu Yan Sang ,Shopping,,,SIN-T2,SIN,Shop,eu-yan-sang,false,,,false,,,,,,active,
,Fragrance Bak Kwa,Shopping,,,SIN-T2,SIN,Shop,fragrance-bak-kwa,true,,,false,,,,,,active,
,Gassan Watches,Shopping,,,SIN-T2,SIN,Shop,gassan-watches,true,,,false,,,,,,active,
,Guardian Health & Beauty - Before Security Level 2 Shop 13,Shopping,,,SIN-T2,SIN,Shop; Quick,guardian-health-beauty-before-security-level-2-shop-13,false,,,false,,"{""Monday-Sunday"":""07:00-23:00""}","Before Security, Level 2, Shop 13",,,active,
,Guardian Health & Beauty - Level 2 Shop 155,Shopping,,,SIN-T2,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-155,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 155",,,active,
,Gucci,Shopping,,,SIN-T2,SIN,Shop,gucci,true,,,false,,,,,,active,
,HERMÈS,Shopping,,,SIN-T2,SIN,Shop,hermes,true,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-T2,SIN,Shop,irvins-salted-egg,true,,,false,,,,,,active,
,Kaboom,Shopping,,,SIN-T2,SIN,Shop,kaboom,true,,,false,,,,,,active,
,Kering Eyewear x Lagardere,Shopping,,,SIN-T2,SIN,Shop,kering-eyewear-lagardere,true,,,false,,,,,,active,
,Longchamp,Shopping,,,SIN-T2,SIN,Shop,longchamp,true,,,false,,,,,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 176,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-176,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 176",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 401,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-401,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 401",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 91,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-91,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 91",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 151,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-151,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 151",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 3 Shop 189,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-3-shop-189,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 3, Shop 189",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 197,Shopping,,,SIN-T2,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-197,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 197",,,active,
,Sunglass Hut,Shopping,,,SIN-T2,SIN,Shop,sunglass-hut,true,,,false,,,,,,active,
,Swarovski,Shopping,,,SIN-T2,SIN,Shop,swarovski,true,,,false,,,,,,active,
,The Digital Gadgets,Shopping,,,SIN-T2,SIN,Shop,the-digital-gadgets,true,,,false,,,,,,active,
,Tod's,Shopping,,,SIN-T2,SIN,Shop,tods,true,,,false,,,,,,active,
,Tommy Hilfiger,Shopping,,,SIN-T2,SIN,Shop,tommy-hilfiger,true,,,false,,,,,,active,
,Tory Burch,Shopping,,,SIN-T2,SIN,Shop,tory-burch,true,,,false,,,,,,active,
,Travelex Money Changer,Shopping,,,SIN-T2,SIN,Quick; Shop,travelex-money-changer,false,,,false,,,,,,active,
,TUMI,Shopping,,,SIN-T2,SIN,Shop,tumi,true,,,false,,,,,,active,
,TWG Tea Boutique,Shopping,,,SIN-T2,SIN,Shop,twg-tea-boutique,true,,,false,,,,,,active,
,Unity,Shopping,,,SIN-T2,SIN,Shop; Quick,unity,true,,,false,,,,,,active,
,UOB Gold,Shopping,,,SIN-T2,SIN,Shop,uob-gold,true,,,false,,,,,,active,
,Victoria's Secret Beauty & Accessories,Shopping,,,SIN-T2,SIN,Shop,victorias-secret-beauty-accessories,true,,,false,,,,,,active,
,WH Smith - Before Security Level 1 Shop 26,Shopping,,,SIN-T2,SIN,Shop,wh-smith-before-security-level-1-shop-26,false,,,false,,"{""Monday-Sunday"":""07:00-23:00""}","Before Security, Level 1, Shop 26",,,active,
,WH Smith - Level 2 Shop 207,Shopping,,,SIN-T2,SIN,Shop,wh-smith-level-2-shop-207,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 207",,,active,
,ZEGNA,Shopping,,,SIN-T2,SIN,Shop,zegna,true,,,false,,,,,,active,
,eu-yan-sang,Shopping,Traditional Medicine,,SIN-T2,SIN,Shop,,false,,,false,,{},,,{},active,
,fila-kids-t2,Shopping,Fashion & Accessories,,SIN-T2,SIN,Shop,,false,,,false,,{},,,{},active,
